Tag,Publication Date,Sample Size
Webster_2012,2012-12,10
Reinthal_1986,1986-12,181
Clement_2017,2017-05,477
White_2007,2007-11,152
White_2007,2007-11,152
Nunes_2012,2013-09,25
Nunes_2012,2013-09,15
Nunes_2012,2013-09,21
Nunes_2012,2013-09,16
Nunes_2012,2013-09,15
Nunes_2012,2013-09,10
Day_2001,2001-11,12
Day_2001,2001-11,12
Baird_1991,1991-07,6
Baird_1991,1991-07,6
Morgan_1987,1987-10,15
Morgan_1987,1987-10,15
Morgan_1988,1988-09,15
Morgan_1988,1988-09,15
Silva_2020,2020-03,8
Foster_1985,1985-08,231
Hamilton_2003,2003-12,33
Pitcher_1981,1981-04,16
Harpaz_2020,2020-08,34
Hintz_2018,2018-10,92
Hintz_2018,2018-10,55