Year,Data
2017,Yes
2018,Yes
2011,No
2015,No
2014,No
2001,No
2004,No
2010,Yes
2012,Yes
2005,No
2012,Yes
2017,Yes
2019,Yes
2013,Yes
2013,Yes
2013,Yes
2012,Yes
2017,Yes
1993,Yes
2008,Yes
2009,Yes
2012,Yes
2017,Yes
2009,Yes
2014,Yes
2012,Yes
2014,Yes
2010,Yes
2007,No
2000,No
2020,Yes
2010,Yes
1998,Yes
2017,Yes
2021,Yes
2010,Yes
2021,Yes
2011,Yes
2020,Yes
2019,Yes
2013,Yes
2010,No
2009,Yes
2004,Yes
2011,Yes
2023,Yes
2022,Yes
2008,No
2005,No
1998,Yes
2003,Yes
1990,Yes
2014,Yes
2009,Yes
2013,Yes
2012,Yes
2012,Yes
2010,Yes
2011,Yes
2012,Yes
2005,Yes
2008,Yes
2020,Yes
2005,Yes
2003,Yes
2013,Yes
2020,Yes
2011,Yes
1998,No
1997,Yes
2008,Yes
2012,Yes
2007,Yes
2018,Yes
2003,No
1992,Yes
2003,Yes
1985,Yes
1999,Yes
1981,Yes
2000,Yes
2022,Yes
1987,Yes
2010,Yes
2021,Yes
2010,Yes
2012,Yes
2011,Yes
2013,Yes
2012,Yes
2012,Yes
1998,Yes
2019,Yes
2005,Yes
1997,Yes
1996,Yes
2003,Yes
1986,Yes
1987,Yes
2016,Yes
1997,Yes
2008,Yes
1986,Yes
1986,Yes
2006,Yes
1993,Yes
1983,Yes
2019,Yes
1990,Yes
2019,Yes
1974,Yes
2022,Yes
2003,Yes
2007,Yes
2012,Yes
2001,Yes
2018,Yes
1998,Yes
1991,Yes
1998,Yes
1983,Yes
1987,Yes
1988,Yes
1988,Yes
2020,Yes
1976,Yes
1992,Yes
2020,Yes
2016,Yes